Region/Country/Area,,Year,Series,Value,Footnotes,Source
21,Northern America,2005,Researchers per million inhabitants (FTE),"3,788.60",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
21,Northern America,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
21,Northern America,2010,Researchers per million inhabitants (FTE),"3,957.90",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
21,Northern America,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
21,Northern America,2015,Researchers per million inhabitants (FTE),"4,294.20",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
21,Northern America,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
21,Northern America,2020,Researchers per million inhabitants (FTE),"4,788.60",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
419,Latin America & the Caribbean,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
419,Latin America & the Caribbean,2005,Researchers per million inhabitants (FTE),357.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
419,Latin America & the Caribbean,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
