Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1985,Balance of Payments: Current account (millions of US dollars),-243,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,2010,Balance of Payments: Current account (millions of US dollars),-578,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,2015,Balance of Payments: Current account (millions of US dollars),"-4,193",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,2020,Balance of Payments: Current account (millions of US dollars),"-3,137",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,2010,Balance of Payments: Capital account (millions of US dollars),"1,897",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,2015,Balance of Payments: Capital account (millions of US dollars),"1,318",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,2020,Balance of Payments: Capital account (millions of US dollars),753,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,1985,Balance of Payments: Financial account (millions of US dollars),-75,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,2010,Balance of Payments: Financial account (millions of US dollars),"1,104",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,2015,Balance of Payments: Financial account (millions of US dollars),-249,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
4,Afghanistan,2020,Balance of Payments: Financial account (millions of US dollars),624,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,1985,Balance of Payments: Current account (millions of US dollars),-36,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,1995,Balance of Payments: Current account (millions of US dollars),-12,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2010,Balance of Payments: Current account (millions of US dollars),"-1,356",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2015,Balance of Payments: Current account (millions of US dollars),-980,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2020,Balance of Payments: Current account (millions of US dollars),"-1,315",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2021,Balance of Payments: Current account (millions of US dollars),"-1,370",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2022,Balance of Payments: Current account (millions of US dollars),"-1,135",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,1995,Balance of Payments: Capital account (millions of US dollars),389,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2010,Balance of Payments: Capital account (millions of US dollars),113,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2015,Balance of Payments: Capital account (millions of US dollars),139,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2020,Balance of Payments: Capital account (millions of US dollars),166,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2021,Balance of Payments: Capital account (millions of US dollars),423,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2022,Balance of Payments: Capital account (millions of US dollars),21,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,1985,Balance of Payments: Financial account (millions of US dollars),-30,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,1995,Balance of Payments: Financial account (millions of US dollars),432,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2010,Balance of Payments: Financial account (millions of US dollars),-797,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2015,Balance of Payments: Financial account (millions of US dollars),-682,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2020,Balance of Payments: Financial account (millions of US dollars),-960,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2021,Balance of Payments: Financial account (millions of US dollars),-738,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
8,Albania,2022,Balance of Payments: Financial account (millions of US dollars),-972,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,1985,Balance of Payments: Current account (millions of US dollars),"1,015",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2010,Balance of Payments: Current account (millions of US dollars),"12,220",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2015,Balance of Payments: Current account (millions of US dollars),"-27,038",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2020,Balance of Payments: Current account (millions of US dollars),"-18,187",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2021,Balance of Payments: Current account (millions of US dollars),"-4,547",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2022,Balance of Payments: Current account (millions of US dollars),"18,279",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2010,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2020,Balance of Payments: Capital account (millions of US dollars),-41,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2021,Balance of Payments: Capital account (millions of US dollars),-54,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2022,Balance of Payments: Capital account (millions of US dollars),-18,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,1985,Balance of Payments: Financial account (millions of US dollars),"1,141",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2010,Balance of Payments: Financial account (millions of US dollars),"10,921",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2015,Balance of Payments: Financial account (millions of US dollars),"-27,202",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2020,Balance of Payments: Financial account (millions of US dollars),"-18,902",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2021,Balance of Payments: Financial account (millions of US dollars),"-4,674",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
12,Algeria,2022,Balance of Payments: Financial account (millions of US dollars),"18,737",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
20,Andorra,2020,Balance of Payments: Current account (millions of US dollars),449,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
20,Andorra,2021,Balance of Payments: Current account (millions of US dollars),467,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2023."
